id,identifier,species_id,height,weight,base_experience,order,is_default,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass
139,omastar,139,10,350,173,180,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #140 #140 Kabuto Kabuto Rock Water
140,kabuto,140,5,115,71,181,1,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #141 #141 Kabutops Kabutops Rock Water
141,kabutops,141,13,405,173,182,1,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #142 #142 Aerodactyl Aerodactyl Rock Flying
142,aerodactyl,142,18,590,180,183,1,flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #143 #143 Snorlax Snorlax Normal
143,snorlax,143,21,4600,189,186,1,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #144 #144 Articuno Articuno Ice Flying
144,articuno,144,17,554,261,187,1,electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #145 #145 Zapdos Zapdos Electric Flying
145,zapdos,145,16,526,261,188,1,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #146 #146 Moltres Moltres Fire Flying
146,moltres,146,20,600,261,189,1,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #147 #147 Dratini Dratini Dragon
147,dratini,147,18,33,60,190,1,dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #148 #148 Dragonair Dragonair Dragon
148,dragonair,148,40,165,147,191,1,dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #149 #149 Dragonite Dragonite Dragon Flying
149,dragonite,149,22,2100,270,192,1,dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #150 #150 Mewtwo Mewtwo Psychic
150,mewtwo,150,20,1220,306,193,1,psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #151 #151 Mew Mew Psychic
151,mew,151,4,40,270,196,1,psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
